"Format","AiM CSV File"
"Session","CentennialT"
"Vehicle",""
"Racer","Clara"
"Championship",""
"Comment",""
"Date","Sunday, August 18, 2024"
"Time","4:28 PM"
"Sample Rate","20"
"Duration","821"
"Segment","Session"
"Beacon Markers","88.837","160.94","233.542","304.878","375.73","446.924","517.738","589.152","660.717","732.679","821"
"Segment Times","1:28.837","1:12.103","1:12.602","1:11.336","1:10.852","1:11.194","1:10.814","1:11.414","1:11.565","1:11.962","1:28.321"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","Internal Batt","RPM"
"s","mph"," ","g","g","deg","deg","deg/s","ft","ft","mph","ft","deg","deg","°C","V","rpm"

"5.850","15.8257","15","-0.0985","0.1302","1.1713","94.0575","-7.9202","5748.2442","0.0377","0.1000","167.9117","39.56957441","-104.83058348","37.0","4.0","3529"
"5.900","15.9939","15","-0.0969","0.1517","1.1305","93.4268","-7.7205","5748.1308","0.0377","0.1000","174.0855","39.56957423","-104.83057922","37.0","4.0","3569"
"5.950","15.9767","15","-0.0734","0.1405","1.0893","93.1345","-5.7898","5748.0207","0.0375","0.1000","231.8877","39.56957404","-104.83057505","37.0","4.0","3579"
"6.000","16.1391","15","-0.0471","0.1190","1.1844","93.0438","-3.6749","5747.8921","0.0374","0.0900","369.0484","39.56957389","-104.83057078","37.0","4.0","3587"
"6.050","16.2903","15","-0.0613","0.1124","1.2130","92.9801","-4.7433","5747.7351","0.0373","0.0900","288.6038","39.56957370","-104.83056648","37.0","4.0","3571"
"6.100","16.4875","15","-0.0601","0.1455","1.2036","92.1403","-4.6218","5747.5717","0.0371","0.0900","299.7754","39.56957363","-104.83056216","37.0","4.0","3603"
"6.150","16.7608","15","-0.0532","0.1688","1.1822","92.0781","-4.0493","5747.4171","0.0371","0.0900","347.8339","39.56957354","-104.83055765","37.0","4.0","3583"
"6.200","16.9220","15","-0.0408","0.1687","1.1933","92.0727","-3.0687","5747.3238","0.0367","0.0900","463.4018","39.56957343","-104.83055315","37.0","4.0","3590"
"6.250","16.9961","15","-0.0216","0.1576","1.1714","92.1869","-1.6111","5747.1969","0.0367","0.0900","886.4978","39.56957328","-104.83054858","37.0","4.0","3602"
"6.300","17.0608","8","-0.0053","0.1651","1.1511","92.0250","-0.3944","5747.1084","0.0595","0.1004","3634.8847","39.56957299","-104.83054226","37.0","4.0","3646"
"6.350","17.3512","8","-0.0005","0.1668","1.1193","92.0282","-0.0441","5747.1440","0.0659","0.1204","32808.3990","39.56957250","-104.83053755","37.0","4.0","3631"
"6.400","17.6427","13","0.0046","0.1679","1.0874","92.0303","0.3291","5747.1800","0.0722","0.1395","4505.0369","39.56957200","-104.83053284","37.0","4.0","3631"
"6.450","17.9216","13","0.0249","0.1450","1.0844","92.1122","1.7742","5747.2429","0.0710","0.1173","848.8556","39.56957110","-104.83052778","37.0","4.0","3620"
"6.500","17.9019","13","0.0461","0.1334","1.1525","92.4886","3.2603","5747.2966","0.0702","0.1100","461.4153","39.56957016","-104.83052272","37.0","4.0","3626"
"6.550","17.8013","13","0.0772","0.1271","1.1561","92.1818","5.4167","5747.3298","0.0694","0.1023","276.1661","39.56956945","-104.83051782","37.0","4.0","3598"
"6.600","18.1023","13","0.0943","0.1202","1.0741","92.6386","6.5693","5747.3631","0.0686","0.1000","231.5618","39.56956866","-104.83051284","37.0","4.0","3621"
"6.650","18.3801","13","0.1234","0.1201","1.0977","93.0315","8.5259","5747.4047","0.0677","0.1028","181.1591","39.56956769","-104.83050763","37.0","4.0","3641"
"6.700","18.4631","13","0.1804","0.0906","1.1300","93.9232","12.3849","5747.4636","0.0669","0.1047","125.2759","39.56956668","-104.83050253","37.0","4.0","3683"
"6.750","18.5128","13","0.2350","0.0745","1.1733","94.6959","16.0487","5747.5044","0.0661","0.1000","96.9367","39.56956572","-104.83049744","37.0","4.0","3661"
"6.800","18.5163","13","0.2570","0.0812","1.1254","95.5327","17.4721","5747.5241","0.0653","0.1000","89.0557","39.56956468","-104.83049236","37.0","4.0","3653"
"6.850","18.6467","13","0.2772","0.1109","1.0219","96.2827","18.7548","5747.5373","0.0645","0.1000","83.5495","39.56956374","-104.83048733","37.0","4.0","3643"
"6.900","18.8090","13","0.2998","0.1330","1.0279","97.5652","20.1462","5747.5633","0.0638","0.1000","78.4562","39.56956266","-104.83048220","37.0","4.0","3665"
"6.950","18.9617","13","0.3272","0.1427","1.0335","98.5127","21.8257","5747.6098","0.0631","0.1000","73.0066","39.56956162","-104.83047716","37.0","4.0","3649"
"7.000","19.0132","13","0.3246","0.1353","1.0588","99.3456","21.4747","5747.6570","0.0623","0.1100","74.4016","39.56956052","-104.83047210","37.0","4.0","3618"
"7.050","19.2004","13","0.3152","0.1209","1.0342","100.9140","20.6977","5747.6723","0.0618","0.1100","77.9548","39.56955928","-104.83046700","37.0","4.0","3658"
"7.100","19.4672","13","0.3249","0.1235","0.9413","101.8448","21.1887","5747.6747","0.0612","0.1100","77.2064","39.56955802","-104.83046185","37.0","4.0","3658"
"7.150","19.6684","13","0.3428","0.1354","0.9680","102.4120","22.2050","5747.6927","0.0608","0.1100","74.4344","39.56955681","-104.83045670","37.0","4.0","3654"
"7.200","19.7025","12","0.3629","0.1457","0.9983","103.3983","23.3273","5747.7407","0.0600","0.1098","70.9758","39.56955541","-104.83045155","37.0","4.0","3622"
